x1,y1,z1,x2,y2,z2
-2.04607,-0.100422,-0.431617,0.528418,0.341004,1.4695
-2.06535,-0.378295,-0.326541,0.270094,0.342273,1.63244
-1.93862,-0.626596,-0.245379,-0.0705509,0.35018,1.65997
-1.85158,-0.848676,-0.164237,-0.298879,0.354305,1.69291
-1.73614,-1.05015,-0.0942319,-0.540965,0.357686,1.69704
-1.63737,-1.2375,-0.0398887,-0.783154,0.360812,1.70763
-1.78711,-1.49904,0.0644691,-0.925623,0.36755,1.98835
-1.97688,-1.29001,-0.00721626,-0.627035,0.361789,2.03562
-2.10905,-1.08599,-0.0824287,-0.356568,0.356907,2.04019
-2.27682,-0.812826,-0.175652,-0.0361265,0.351983,2.0469
-2.38396,-0.632012,-0.2318,0.175042,0.345927,2.04842
-2.51352,-0.4914,-0.278432,0.364608,0.341645,2.09176
-2.57721,-0.206625,-0.385553,0.661431,0.341264,1.99994
-2.62461,0.0367959,-0.473666,0.90883,0.340763,1.91456
-2.92021,0.0431233,-0.474734,1.05676,0.340705,2.16898
-2.92319,-0.292232,-0.345782,0.753027,0.339484,2.34591
-2.84489,-0.65262,-0.212546,0.377683,0.340583,2.46674
-2.75284,-0.943071,-0.108703,0.0671684,0.345375,2.53503
-2.63298,-1.25266,-0.000569569,-0.282064,0.353587,2.59048
-2.3801,-1.58468,0.10977,-0.709181,0.367697,2.53846
-2.32288,-1.79704,0.192087,-0.924083,0.369601,2.59992
-2.15278,-2.00815,0.260918,-1.21125,0.371151,2.54834
-1.99336,-2.25612,0.349471,-1.50425,0.367469,2.54411
-2.31297,-2.62209,0.487128,-1.69377,0.373588,3.01137
-2.47247,-2.40175,0.408186,-1.42126,0.371912,3.034
-2.70461,-2.30445,0.378922,-1.20823,0.370362,3.19508
-2.8999,-2.1695,0.334901,-0.992695,0.369313,3.29331
-3.14961,-2.00642,0.276796,-0.720567,0.366899,3.42834
-3.35195,-1.81823,0.2108,-0.452759,0.366566,3.50897
-3.41074,-1.5104,0.105968,-0.137254,0.358081,3.405
-3.51373,-1.32802,0.0407838,0.0873662,0.353849,3.40347
-3.63346,-1.02273,-0.0649878,0.423067,0.344463,3.34977
-3.67267,-0.77453,-0.148567,0.672636,0.340696,3.25466
-3.68066,-0.559171,-0.235943,0.876369,0.344005,3.13975
-3.68303,-0.523845,-0.25014,0.910507,0.342094,3.12812
-3.76645,-0.236353,-0.353032,1.21765,0.340438,3.05516
-3.64918,0.0962075,-0.484613,1.46333,0.344269,2.7734
-3.67906,0.329637,-0.577454,1.69487,0.347871,2.67673
-4.07236,0.242432,-0.537427,1.80653,0.348796,3.06994
-4.01903,-0.0180577,-0.436874,1.53834,0.344222,3.15501
-3.93936,-0.376814,-0.300524,1.17089,0.343875,3.28049
-3.77551,-0.746244,-0.161912,0.746362,0.343637,3.32487
-3.61486,-1.12015,-0.0262028,0.3249,0.34727,3.37979
-3.41999,-1.41328,0.0705847,-0.0415748,0.354861,3.36461
-3.24482,-1.69018,0.162934,-0.385513,0.36271,3.34257
-2.95189,-1.97244,0.263515,-0.780926,0.364661,3.23669
-2.69909,-2.26314,0.366224,-1.17455,0.371065,3.16715
-2.44509,-2.52552,0.459464,-1.53579,0.372563,3.0812
-2.25478,-2.69876,0.519771,-1.78973,0.371325,3.00649
-2.58532,-3.03918,0.641881,-1.95453,0.379937,3.46548
-2.90247,-2.82889,0.565322,-1.59955,0.38389,3.63514
-3.13161,-2.63966,0.499855,-1.31099,0.381868,3.74885
-3.40568,-2.40317,0.416767,-0.967653,0.38105,3.85981
-3.64452,-2.14427,0.320966,-0.597535,0.38064,3.93728
-3.87847,-1.83612,0.213071,-0.204945,0.373954,3.98138
-4.06604,-1.57468,0.129201,0.123959,0.366417,4.01442
-4.26694,-1.27944,0.027565,0.495086,0.360308,4.03297
-4.33591,-0.994326,-0.0713328,0.79226,0.354723,3.94398
-4.45863,-0.691279,-0.178683,1.13463,0.349292,3.9005
-4.60119,-0.310354,-0.318262,1.55173,0.349352,3.8219
-4.66374,0.00243415,-0.440797,1.87471,0.351155,3.71174
-4.7222,0.34959,-0.573004,2.22267,0.354177,3.57357
-5.39094,0.315621,-0.562602,2.53041,0.371549,4.18381
-5.21137,-0.101444,-0.403006,2.04479,0.365514,4.2392
-5.07139,-0.376962,-0.302434,1.72513,0.364324,4.26696
-4.87648,-0.699447,-0.181785,1.3268,0.359608,4.26602
-4.65302,-1.02535,-0.0622919,0.928016,0.36238,4.2436
-4.43988,-1.36921,0.0575554,0.489193,0.368094,4.22892
-4.19072,-1.71688,0.175065,0.0677252,0.37518,4.19294
-3.94877,-2.00566,0.273745,-0.311209,0.383614,4.14129
-3.71669,-2.31149,0.383456,-0.718993,0.385699,4.08746
-3.44547,-2.59588,0.491824,-1.12525,0.384855,3.99718
-3.13761,-2.86506,0.591332,-1.53061,0.386585,3.86372
-2.84308,-3.13803,0.679225,-1.91313,0.388015,3.74934
-2.60649,-3.31892,0.75311,-2.21306,0.378897,3.63272
-2.35346,-3.50911,0.844639,-2.51089,0.365325,3.51914
-2.19441,-1.47775,0.0639614,-0.696165,0.365906,2.30857
-2.34363,-0.643947,-0.229166,0.141535,0.347512,2.02069
-2.24728,-0.284672,-0.359725,0.435747,0.340167,1.75155
