x1,y1,z1,x2,y2,z2
1.76468,-1.63561,0.10854,1.00351,0.395807,2.03471
1.89425,-1.43603,0.0309398,0.733621,0.39665,2.02704
1.98659,-1.12407,-0.0919822,0.421803,0.39554,1.95273
2.0685,-0.829983,-0.206666,0.115396,0.396066,1.86989
2.18531,-0.193311,-0.415261,-0.560531,0.394417,1.61363
2.58322,-0.158923,-0.467199,-0.775483,0.403475,1.94757
2.62009,-0.465818,-0.351978,-0.501753,0.405366,2.14212
2.51289,-0.701938,-0.259,-0.236425,0.404573,2.17657
2.39812,-0.889346,-0.184968,-0.0103344,0.403043,2.18143
2.29188,-1.05867,-0.122776,0.209774,0.401677,2.18409
2.1241,-1.3036,-0.0233145,0.518695,0.400656,2.16395
1.91209,-1.50775,0.0583549,0.831372,0.397964,2.08165
1.71762,-1.65041,0.114969,1.08732,0.393025,1.98206
1.96062,-1.92722,0.218917,1.16205,0.40397,2.36218
1.87791,-1.96704,0.22872,1.24086,0.402216,2.30736
2.06599,-1.80364,0.169978,0.986457,0.407145,2.38715
2.22105,-1.59905,0.0883917,0.707834,0.409287,2.41167
2.36302,-1.38742,0.00379781,0.463718,0.409277,2.42225
2.472,-1.18586,-0.0694704,0.218241,0.40928,2.40674
2.5905,-0.950994,-0.162365,-0.0416905,0.407571,2.38308
2.70101,-0.705272,-0.262068,-0.336457,0.406774,2.34398
2.77574,-0.393147,-0.385031,-0.643686,0.410473,2.24259
2.83465,-0.150817,-0.482645,-0.919277,0.414593,2.15422
2.84919,0.054872,-0.55263,-1.1035,0.414132,2.06161
3.14712,0.0987899,-0.59151,-1.30062,0.429427,2.29155
3.25295,-0.141454,-0.499083,-1.12251,0.435993,2.51193
3.31334,-0.395199,-0.403773,-0.923251,0.440695,2.7036
3.23603,-0.613764,-0.319054,-0.67555,0.436719,2.75519
3.10298,-0.915162,-0.197578,-0.33534,0.430841,2.80032
2.82016,-1.23019,-0.0616642,0.0936814,0.417938,2.72562
2.62196,-1.44761,0.0252061,0.386051,0.416954,2.68079
2.38678,-1.65874,0.107796,0.699387,0.413603,2.58527
2.11972,-1.8975,0.208079,1.05179,0.408727,2.48508
1.85356,-2.01488,0.250846,1.28378,0.402868,2.32455
2.06085,-2.35058,0.382786,1.50853,0.41151,2.67714
2.38584,-2.20373,0.314044,1.21075,0.418961,2.87181
2.67435,-2.04153,0.259964,0.913955,0.4223,3.04557
2.96805,-1.84443,0.178233,0.587971,0.430427,3.19223
3.22151,-1.51396,0.0364263,0.152596,0.442423,3.22948
3.37113,-1.20729,-0.0883603,-0.208463,0.449749,3.19005
3.53095,-0.92136,-0.21317,-0.5506,0.458349,3.1765
3.64916,-0.58456,-0.344149,-0.922768,0.462072,3.087
3.70372,-0.291636,-0.463259,-1.21842,0.464161,2.97857
3.75726,0.0114786,-0.580274,-1.52402,0.46206,2.86295
3.83758,0.28464,-0.685031,-1.81624,0.463041,2.78889
4.31167,0.277893,-0.707507,-2.05867,0.496428,3.21145
4.36796,-0.0959871,-0.568695,-1.74121,0.501889,3.4467
4.36934,-0.405018,-0.448488,-1.45147,0.509031,3.62584
4.2774,-0.7474,-0.310649,-1.08584,0.507691,3.73021
4.16126,-1.10126,-0.175358,-0.708384,0.503027,3.81523
4.03507,-1.4406,-0.0398189,-0.333928,0.498347,3.88579
3.867,-1.75405,0.0924481,0.0427311,0.489328,3.91352
3.68986,-2.05718,0.216256,0.412473,0.477748,3.92284
3.44466,-2.3289,0.33465,0.790174,0.466476,3.86464
3.2395,-2.61661,0.447687,1.15967,0.456235,3.83124
2.90834,-2.92199,0.57812,1.60911,0.444095,3.7106
2.57296,-3.20036,0.694003,2.03283,0.437935,3.57341
2.70984,-3.84554,0.928454,2.56077,0.456034,4.04716
3.0648,-3.67117,0.863063,2.20852,0.46485,4.26084
4.16454,-2.56841,0.406042,0.650093,0.508083,4.61891
4.54755,-1.89889,0.1056,-0.177616,0.538147,4.57048
4.91191,-0.907213,-0.298094,-1.27985,0.561264,4.35007
5.02767,-0.582528,-0.43305,-1.63463,0.566644,4.26664
5.12373,-0.304731,-0.550176,-1.95123,0.578259,4.20857
5.18452,0.0438066,-0.681401,-2.29522,0.576043,4.07423
1.86381,-0.807324,-0.213066,0.226886,0.388525,1.67983
1.60355,-1.21496,-0.0550574,0.760934,0.383084,1.65464
1.40731,-0.923335,-0.160067,0.474029,0.379045,1.32615
