x1,y1,z1,x2,y2,z2
-2.04747,1.48831,-0.684737,0.104205,0.396398,1.86867
-2.17019,0.773419,-0.681189,-0.558785,0.394742,1.61436
-2.56313,0.762945,-0.678682,-0.772465,0.402745,1.94669
-2.59571,1.09455,-0.681776,-0.501931,0.405258,2.14647
-2.49567,1.33876,-0.684786,-0.245224,0.40309,2.17575
-2.37782,1.5417,-0.682059,-0.00921584,0.402995,2.18226
-2.27277,1.73029,-0.684124,0.204488,0.401552,2.18083
-2.11128,1.99698,-0.686262,0.515107,0.40057,2.16402
-1.87661,2.22638,-0.684951,0.823993,0.398137,2.08468
-1.6542,2.40486,-0.677992,1.08519,0.393204,1.98487
-2.05845,2.52633,-0.689982,1.00175,0.406482,2.38553
-2.20971,2.31885,-0.690565,0.727721,0.408255,2.41026
-2.34906,2.08179,-0.69303,0.463639,0.409517,2.42123
-2.45495,1.85046,-0.691371,0.223411,0.408286,2.40589
-2.56529,1.62281,-0.689251,-0.0442247,0.407275,2.38043
-2.68753,1.3371,-0.679742,-0.339687,0.406311,2.34553
-2.75079,1.03344,-0.687708,-0.634354,0.409847,2.24049
-2.81882,0.744089,-0.683636,-0.917093,0.413986,2.15539
-2.83468,0.539404,-0.686771,-1.1035,0.414132,2.06161
-3.13766,0.487543,-0.696884,-1.3026,0.429598,2.30108
-3.23424,0.750434,-0.699057,-1.12093,0.435036,2.51691
-3.28701,1.01319,-0.703882,-0.920754,0.441194,2.70417
-3.20883,1.25569,-0.703505,-0.668846,0.435986,2.7573
-3.07656,1.56898,-0.709646,-0.33097,0.4304,2.80154
-2.79478,1.90908,-0.690979,0.0936814,0.417938,2.72562
-2.60602,2.13602,-0.691844,0.389794,0.417165,2.67594
-2.40492,2.35705,-0.693938,0.689745,0.413867,2.59643
-2.11017,2.6285,-0.696665,1.05179,0.408727,2.48508
-1.84263,2.7461,-0.699772,1.28378,0.402868,2.32455
-2.03817,3.11251,-0.697498,1.51481,0.411725,2.67717
-2.36404,2.96814,-0.703501,1.21584,0.418555,2.87358
-2.65695,2.79101,-0.69953,0.913748,0.422279,3.03532
-2.93843,2.57428,-0.700862,0.587971,0.430427,3.19223
-3.18767,2.21307,-0.716381,0.156543,0.442038,3.23325
-3.3435,1.87304,-0.721195,-0.207024,0.449459,3.18239
-3.5007,1.5821,-0.723443,-0.547911,0.458578,3.17657
-3.62354,1.22082,-0.722498,-0.916574,0.462105,3.08966
-3.68277,0.907889,-0.722527,-1.21569,0.464806,2.98333
-3.73804,0.58321,-0.72476,-1.52402,0.46206,2.86295
-3.81351,0.291512,-0.716743,-1.8069,0.462381,2.78006
-4.29822,0.294103,-0.746477,-2.05885,0.496188,3.21267
-4.34737,0.686188,-0.7539,-1.74121,0.501889,3.4467
-4.34847,1.01532,-0.759122,-1.46145,0.508455,3.61931
-4.24206,1.38922,-0.762549,-1.08705,0.507635,3.71882
-4.13117,1.76478,-0.759999,-0.711063,0.502701,3.81707
-4.00772,2.11465,-0.757619,-0.343313,0.498712,3.8894
-3.82995,2.46352,-0.750822,0.0427311,0.489328,3.91352
-3.66135,2.77698,-0.747534,0.401468,0.479557,3.92153
-3.41594,3.08767,-0.727286,0.790174,0.466476,3.86464
-3.22682,3.40147,-0.732743,1.15967,0.456235,3.83124
-2.88184,3.73153,-0.724114,1.60246,0.444159,3.71297
-2.54045,4.01831,-0.719297,2.02406,0.437884,3.57636
-2.67762,4.71884,-0.742957,2.56562,0.456526,4.06037
-3.0614,4.51312,-0.748325,2.19554,0.464401,4.26663
-3.41626,4.30583,-0.75122,1.83095,0.474201,4.46044
-4.35297,3.01555,-0.77902,0.260184,0.523224,4.64146
-4.77388,1.84731,-0.801909,-0.960496,0.556075,4.41183
-4.88472,1.53773,-0.816298,-1.28394,0.561928,4.35192
-5.00141,1.18934,-0.809109,-1.63463,0.566644,4.26664
-5.09804,0.893989,-0.821706,-1.94379,0.578017,4.20394
-5.16073,0.547781,-0.794723,-2.29522,0.576043,4.07423
-1.9417,1.06787,-0.678744,-0.193653,0.388961,1.5654
-2.61606,2.12748,-0.695505,0.381499,0.417283,2.68412
-2.39781,2.38117,-0.693263,0.700608,0.413691,2.60616
-2.11221,2.62702,-0.694112,1.04674,0.408954,2.4823
-1.85048,2.74149,-0.695487,1.28369,0.402803,2.32581
-2.03817,3.11251,-0.697498,1.51481,0.411725,2.67717
-2.54045,4.01831,-0.719297,2.02406,0.437884,3.57636
-2.20916,4.26153,-0.725346,2.4088,0.434368,3.43037
-2.67325,4.71748,-0.739978,2.56412,0.456343,4.05422
-3.0614,4.51312,-0.748325,2.19554,0.464401,4.26663
-3.41626,4.30583,-0.75122,1.83095,0.474201,4.46044
-3.71257,4.0324,-0.745189,1.44796,0.487573,4.5878
