x1,y1,z1,x2,y2,z2
-0.0354386,-2.88009,0.629467,0.155073,0.38608,2.87356
1.36518,-2.25566,0.405499,-1.2262,0.359213,2.19733
1.45624,-2.20847,0.389119,-1.31636,0.356107,2.14809
1.1706,-2.27747,0.413331,-1.03909,0.36066,2.21587
0.904996,-2.37956,0.446735,-0.77003,0.365495,2.32063
0.584883,-2.53171,0.506023,-0.464487,0.369094,2.49456
0.294066,-2.5908,0.528727,-0.172785,0.372246,2.56427
-0.112086,-2.65969,0.538126,0.215865,0.380937,2.63701
-0.462891,-2.58719,0.505249,0.576448,0.388984,2.56587
-0.81668,-2.66024,0.524589,0.927747,0.399714,2.64183
-1.15476,-2.62189,0.491589,1.25933,0.409343,2.6048
-1.39261,-2.5957,0.477061,1.50011,0.417323,2.57964
-1.47787,-2.98118,0.612147,1.58685,0.433343,2.97517
-1.20605,-3.03344,0.646323,1.31496,0.425584,3.03622
-0.896031,-3.078,0.679452,1.01569,0.419425,3.08601
-0.601437,-3.10877,0.692208,0.713411,0.409938,3.1137
-0.23203,-3.12018,0.71215,0.349008,0.400024,3.12995
0.059093,-3.11609,0.725193,0.0591768,0.391226,3.12699
0.362786,-3.11794,0.729,-0.237985,0.385975,3.12872
0.655365,-3.097,0.727304,-0.525664,0.379056,3.10253
1.01825,-3.01916,0.70705,-0.896729,0.370138,3.01616
1.33918,-2.96527,0.694494,-1.21345,0.362858,2.96354
1.6512,-2.82802,0.650049,-1.51273,0.354876,2.81576
1.56758,-2.51102,0.514824,-1.43727,0.355798,2.47677
1.2282,-2.65348,0.565372,-1.10198,0.363223,2.62611
0.915216,-2.70475,0.574878,-0.787525,0.370274,2.68033
0.570422,-2.73729,0.584376,-0.440517,0.372654,2.71817
0.258746,-2.73945,0.582191,-0.143907,0.377811,2.72355
-0.146154,-2.80394,0.600156,0.252842,0.385332,2.79056
-0.472575,-2.80088,0.586806,0.585302,0.394989,2.79051
-0.717343,-2.79913,0.577267,0.825658,0.400957,2.78789
-1.54442,-3.09596,0.656925,1.65888,0.440962,3.10063
-1.49768,-2.90559,0.582976,1.61283,0.433973,2.89763
-1.7351,-3.27742,0.712632,1.83367,0.450045,3.29901
-1.68382,-3.48162,0.80096,1.7906,0.455535,3.51552
-1.40652,-3.58247,0.847415,1.51917,0.449318,3.62057
-1.13201,-3.63166,0.881819,1.24046,0.439204,3.67263
-0.76675,-3.67244,0.907792,0.874837,0.429506,3.71881
-0.475222,-3.71012,0.926067,0.581649,0.422945,3.75496
1.21,-3.60388,0.920557,-1.06609,0.376902,3.64753
1.57015,-3.5366,0.906138,-1.43276,0.367762,3.57565
1.95327,-3.3762,0.865572,-1.82858,0.360308,3.40858
2.1976,-3.7589,1.00553,-2.07414,0.369444,3.82068
1.89981,-3.98609,1.06579,-1.75648,0.375505,4.06035
-1.435,-4.12861,1.05732,1.54198,0.462518,4.20942
-1.71826,-4.00571,0.996065,1.82254,0.47048,4.07636
-2.01182,-3.84716,0.926626,2.1186,0.478232,3.91345
-2.30823,-3.71557,0.858407,2.42657,0.485218,3.78767
-2.55243,-4.23564,1.04809,2.65623,0.505802,4.34614
-2.23881,-4.41755,1.13342,2.33814,0.497466,4.5156
-1.87599,-4.49762,1.17165,1.97501,0.488363,4.59826
2.54218,-4.18588,1.16254,-2.42141,0.383456,4.26778
1.75521,-2.5494,0.537816,-1.51271,0.335631,2.61879
1.23484,-2.49434,0.4979,-1.10771,0.363992,2.44966
0.762634,-2.48085,0.489194,-0.634491,0.367437,2.44301
0.303255,-2.46136,0.474391,-0.174305,0.369694,2.42916
-0.580632,-2.29844,0.394173,0.692702,0.384617,2.26211
0.258823,-2.20868,0.372235,-0.15146,0.36737,2.15206
0.926669,-2.49582,0.495574,-0.800841,0.36565,2.45094
0.565759,-2.67083,0.564959,-0.439976,0.369785,2.64546
