x1,y1,z1,x2,y2,z2
1.38937,3.14729,-0.694523,1.1607,0.410729,2.38168
0.846508,3.32038,-0.681556,0.608586,0.393874,2.54768
0.566771,3.38131,-0.673034,0.333841,0.384329,2.59691
0.315894,3.43112,-0.665493,0.07903,0.377069,2.63978
0.0530209,3.42954,-0.663331,-0.182942,0.368597,2.63423
-0.261426,3.44629,-0.649091,-0.486824,0.359763,2.6419
-0.538528,3.42749,-0.645869,-0.765519,0.351825,2.61476
-0.779978,3.39024,-0.636576,-1.00389,0.342664,2.57043
-1.01898,3.34995,-0.634307,-1.24548,0.335209,2.52321
-1.06631,3.65024,-0.630795,-1.29802,0.336246,2.82451
-0.704275,3.70843,-0.647877,-0.946243,0.347468,2.89203
-0.426361,3.76292,-0.651019,-0.660417,0.358889,2.953
-0.0981603,3.79628,-0.66234,-0.342578,0.368206,3.00248
0.253639,3.82586,-0.6688,0.00872513,0.379997,3.03637
0.589232,3.79886,-0.680136,0.344768,0.3929,3.0191
0.924139,3.76691,-0.693473,0.678362,0.406355,2.99906
1.09448,3.77562,-0.697754,0.846837,0.413398,3.01467
1.28995,3.76435,-0.707021,1.04508,0.419273,3.00101
1.52694,3.73123,-0.71021,1.28833,0.426802,2.97434
1.77576,3.67856,-0.719001,1.52605,0.43475,2.92621
1.93673,3.62882,-0.720255,1.69313,0.441961,2.88079
2.14001,4.06075,-0.735756,1.88513,0.457488,3.31437
1.8485,4.2655,-0.728387,1.59242,0.447317,3.52028
1.64815,4.34238,-0.722204,1.38326,0.440407,3.59612
1.36488,4.45746,-0.71669,1.10046,0.430335,3.70334
1.05288,4.53865,-0.711565,0.776787,0.420346,3.77475
0.74345,4.61804,-0.696266,0.474477,0.408448,3.84558
0.42774,4.66018,-0.68843,0.156164,0.396227,3.88356
0.10149,4.70736,-0.6758,-0.166585,0.383823,3.91183
-0.275749,4.74647,-0.670516,-0.549189,0.374325,3.94813
-0.659815,4.72198,-0.665028,-0.925806,0.365499,3.91305
-1.02577,4.75446,-0.656338,-1.29257,0.356731,3.93925
-1.31357,4.75586,-0.657705,-1.57659,0.355964,3.92595
-1.61296,4.73425,-0.65941,-1.87757,0.353503,3.90121
-1.8996,4.70763,-0.657636,-2.16785,0.345999,3.87003
-2.15069,4.69984,-0.648285,-2.4069,0.33862,3.84698
-2.1533,5.30442,-0.669343,-2.43847,0.36003,4.45604
-1.84798,5.47187,-0.674027,-2.13272,0.370352,4.63455
-1.55047,5.57899,-0.675892,-1.84033,0.372908,4.74991
-1.15916,5.65005,-0.676759,-1.45199,0.374286,4.84363
-0.837244,5.69998,-0.665001,-1.1244,0.37677,4.90449
-0.447236,5.71901,-0.664911,-0.73581,0.378429,4.92704
-0.0637092,5.75891,-0.675694,-0.361444,0.385507,4.98441
0.320179,5.77577,-0.674407,0.0165165,0.397123,5.01504
0.584472,5.79644,-0.693978,0.28914,0.407031,5.02451
0.914591,5.94314,-0.703505,0.62095,0.420819,5.20245
1.41688,5.87208,-0.720457,1.12117,0.438695,5.14888
1.8468,5.78856,-0.740388,1.54651,0.45767,5.06947
2.24383,5.75712,-0.771395,1.94445,0.481355,5.04299
2.74413,5.69189,-0.777517,2.45377,0.509374,4.98642
3.05329,5.60202,-0.795462,2.76788,0.525723,4.90647
3.46631,5.43865,-0.817088,3.18026,0.544363,4.76623
3.38073,6.31713,-0.819333,3.06813,0.548914,5.63985
3.00394,6.41867,-0.802204,2.71344,0.533674,5.7886
0.310594,6.81365,-0.712876,-0.0264588,0.421113,6.02466
-0.0946049,6.86995,-0.707037,-0.424199,0.414359,6.05006
-0.537507,6.84458,-0.715311,-0.862954,0.401221,5.99125
-1.0997,6.83715,-0.708745,-1.42796,0.40195,6.06407
-1.56734,6.82898,-0.692514,-1.89525,0.390732,5.97284
-2.10456,6.79518,-0.709746,-2.43084,0.38425,5.91898
-2.60514,6.82589,-0.680724,-2.92152,0.37113,5.95501
-3.05212,6.89644,-0.663878,-3.4226,0.35197,6.07642
-3.21727,6.75999,-0.653335,-3.53738,0.331728,5.87213
-1.18154,3.84619,-0.642532,-1.42596,0.336208,3.0116
0.0439657,2.99866,-0.654862,-0.175905,0.360047,2.20501
0.465382,3.05985,-0.665304,0.24256,0.372758,2.27693
