x1,y1,z1,x2,y2,z2
2.07589,-0.610207,-0.668632,-0.612689,0.342252,1.47592
1.97332,-0.947976,-0.667664,-0.266563,0.331273,1.55802
1.89902,-1.10359,-0.659972,-0.0994533,0.327056,1.56846
1.79216,-1.2685,-0.65219,0.0881728,0.322269,1.55763
1.69324,-1.41316,-0.64898,0.272667,0.317568,1.54649
1.56778,-1.6638,-0.641909,0.545853,0.307928,1.56203
1.4719,-1.88736,-0.63288,0.795524,0.30061,1.59338
1.59906,-2.36075,-0.636087,1.12583,0.29273,1.9403
1.77782,-2.16181,-0.644862,0.867409,0.301879,1.99522
1.88725,-1.97852,-0.653477,0.652472,0.309953,1.99858
2.01042,-1.76521,-0.656252,0.414078,0.317581,1.99791
2.08056,-1.56927,-0.6584,0.210508,0.322637,1.96045
2.13258,-1.37564,-0.662232,0.00996311,0.328831,1.90399
2.20931,-1.10722,-0.666978,-0.253455,0.336639,1.83739
2.25609,-0.845799,-0.671521,-0.503694,0.344842,1.74494
2.27374,-0.679264,-0.678814,-0.662026,0.350005,1.67597
2.83344,-0.686015,-0.701586,-0.931678,0.370612,2.16926
2.81247,-0.921226,-0.698744,-0.717154,0.364855,2.26703
2.78091,-1.15658,-0.696542,-0.497118,0.359036,2.35868
2.71994,-1.40425,-0.692538,-0.256648,0.352473,2.43091
2.65657,-1.62458,-0.687886,-0.0367559,0.345638,2.48911
2.57553,-1.82775,-0.682573,0.180703,0.337859,2.52121
2.51708,-2.04809,-0.67985,0.406284,0.330991,2.58361
2.39931,-2.24529,-0.674099,0.630721,0.321356,2.57883
2.30901,-2.48426,-0.66822,0.877593,0.312368,2.62018
2.203,-2.68132,-0.662433,1.10304,0.303342,2.62697
2.05272,-2.93523,-0.654005,1.39248,0.292909,2.62027
1.93048,-3.12314,-0.648354,1.6132,0.28591,2.61037
2.16177,-3.78022,-0.65493,2.05916,0.274862,3.14866
2.3939,-3.56998,-0.669013,1.76649,0.291227,3.23949
2.56943,-3.34562,-0.680122,1.48527,0.305367,3.27701
2.7506,-3.07638,-0.689761,1.16317,0.319606,3.29931
2.89142,-2.79086,-0.694431,0.849433,0.330413,3.28192
3.03919,-2.52518,-0.70433,0.548319,0.341118,3.27989
3.18592,-2.20192,-0.712003,0.194384,0.353173,3.24383
3.25904,-1.97038,-0.716374,-0.0444055,0.361476,3.19417
3.33331,-1.66651,-0.719889,-0.343655,0.370224,3.10156
3.39987,-1.40775,-0.723518,-0.601614,0.378279,3.02833
3.46511,-1.15881,-0.727068,-0.840194,0.386034,2.95669
3.56816,-0.86621,-0.734707,-1.13761,0.396118,2.90076
3.6633,-0.549128,-0.743141,-1.46972,0.405537,2.81407
4.27457,-0.739238,-0.769071,-1.61512,0.426449,3.44059
4.22459,-0.836593,-0.764843,-1.50074,0.422524,3.44653
4.15059,-1.16818,-0.766909,-1.18877,0.413792,3.55277
4.06939,-1.44692,-0.759874,-0.90741,0.403414,3.62265
4.00254,-1.6899,-0.752828,-0.66932,0.395622,3.68771
3.91897,-1.94808,-0.745677,-0.403942,0.385508,3.74812
3.82043,-2.28611,-0.745088,-0.0529331,0.374526,3.83877
3.7182,-2.56169,-0.733368,0.238801,0.366582,3.88455
3.57012,-2.866,-0.730498,0.56653,0.355135,3.9067
3.46866,-3.10071,-0.727972,0.835382,0.345182,3.9427
3.29764,-3.41487,-0.71829,1.1839,0.333011,3.94968
3.09286,-3.69839,-0.70664,1.50399,0.318988,3.91286
2.87955,-4.02284,-0.693515,1.91543,0.303522,3.89377
2.617,-4.23684,-0.675877,2.23605,0.285255,3.77046
2.37664,-4.52153,-0.661744,2.58991,0.268537,3.7132
2.92926,-4.98128,-0.693313,2.71371,0.286232,4.42192
3.29099,-4.68728,-0.716105,2.27908,0.308849,4.58882
3.50718,-4.39581,-0.7262,1.92021,0.325397,4.63107
3.71908,-4.11414,-0.740857,1.57163,0.343664,4.67712
3.90013,-3.80327,-0.750236,1.21241,0.356845,4.68198
4.08036,-3.42405,-0.755388,0.801492,0.370328,4.66783
4.21174,-3.07681,-0.760122,0.438179,0.378783,4.61401
4.33615,-2.67025,-0.768478,0.017068,0.386893,4.50348
4.46195,-2.28076,-0.770252,-0.383476,0.397152,4.41488
4.51851,-2.01886,-0.778598,-0.64016,0.40552,4.32836
4.61227,-1.65944,-0.78143,-0.999995,0.41771,4.22183
4.70965,-1.18804,-0.791165,-1.44608,0.433211,4.06305
4.72292,-0.922974,-0.79346,-1.68569,0.440902,3.93648
1.79393,-1.26439,-0.647316,0.0893114,0.322132,1.55702
1.69324,-1.41316,-0.64898,0.27133,0.317707,1.54707
1.47179,-1.88464,-0.635432,0.788511,0.300563,1.5905
1.59516,-2.35963,-0.635663,1.12864,0.292576,1.9361
1.77931,-2.16151,-0.644104,0.866493,0.301681,1.99523
2.13157,-1.37592,-0.663906,0.0143187,0.328865,1.90521
2.20899,-1.10438,-0.667898,-0.25394,0.33668,1.83671
2.25721,-0.841826,-0.676205,-0.507738,0.34457,1.74778
